Unnamed: 0,Student ID,Well versed with the subject,Explains concepts in an understandable way,Use of presentations,Degree of difficulty of assignments,Solves doubts willingly,Structuring of the course,Provides support for students going above and beyond,Course recommendation based on relevance,All_Feedback,Sentiment
0,340,5,2,7,6,9,2,1,8,5 2 7 6 9 2 1 8,Neutral
1,253,6,5,8,6,2,1,2,9,6 5 8 6 2 1 2 9,Neutral
2,680,7,7,6,5,4,2,3,1,7 7 6 5 4 2 3 1,Neutral
3,806,9,6,7,1,5,9,4,6,9 6 7 1 5 9 4 6,Neutral
4,632,8,10,8,4,6,6,9,9,8 10 8 4 6 6 9 9,Neutral
5,832,7,2,7,8,3,5,1,4,7 2 7 8 3 5 1 4,Neutral
6,772,9,3,5,2,10,3,8,1,9 3 5 2 10 3 8 1,Neutral
7,961,9,8,7,4,4,3,3,10,9 8 7 4 4 3 3 10,Neutral
8,814,6,5,8,6,4,4,7,9,6 5 8 6 4 4 7 9,Neutral
9,863,5,9,4,7,9,4,4,5,5 9 4 7 9 4 4 5,Neutral
10,576,10,3,8,6,6,3,6,9,10 3 8 6 6 3 6 9,Neutral
11,702,8,4,7,1,2,1,8,8,8 4 7 1 2 1 8 8,Neutral
12,541,5,4,4,2,2,7,8,1,5 4 4 2 2 7 8 1,Neutral
13,552,5,6,7,2,7,4,4,2,5 6 7 2 7 4 4 2,Neutral
14,510,6,7,8,3,4,7,7,6,6 7 8 3 4 7 7 6,Neutral
15,159,7,7,6,6,3,9,3,1,7 7 6 6 3 9 3 1,Neutral
16,223,9,10,4,5,7,10,10,6,9 10 4 5 7 10 10 6,Neutral
17,807,8,3,4,2,2,4,6,1,8 3 4 2 2 4 6 1,Neutral
18,525,9,9,4,3,5,5,9,2,9 9 4 3 5 5 9 2,Neutral
19,799,5,6,5,4,2,1,1,7,5 6 5 4 2 1 1 7,Neutral
20,24,9,10,6,10,2,10,1,9,9 10 6 10 2 10 1 9,Neutral
21,509,8,2,7,5,2,3,4,4,8 2 7 5 2 3 4 4,Neutral
22,797,9,10,4,10,9,2,10,7,9 10 4 10 9 2 10 7,Neutral
23,418,8,8,6,7,9,5,2,8,8 8 6 7 9 5 2 8,Neutral
24,48,5,5,4,2,1,10,10,9,5 5 4 2 1 10 10 9,Neutral
25,657,9,5,7,3,2,8,10,6,9 5 7 3 2 8 10 6,Neutral
26,864,9,8,5,2,3,9,2,8,9 8 5 2 3 9 2 8,Neutral
27,861,5,6,4,5,4,4,6,6,5 6 4 5 4 4 6 6,Neutral
28,118,9,10,7,7,4,6,9,1,9 10 7 7 4 6 9 1,Neutral
29,387,7,3,8,1,6,8,6,8,7 3 8 1 6 8 6 8,Neutral
30,282,5,6,7,3,8,1,1,9,5 6 7 3 8 1 1 9,Neutral
31,503,8,6,6,3,3,6,4,10,8 6 6 3 3 6 4 10,Neutral
32,934,5,6,4,6,10,3,4,10,5 6 4 6 10 3 4 10,Neutral
33,781,8,3,4,5,1,8,10,5,8 3 4 5 1 8 10 5,Neutral
34,898,10,10,4,3,5,4,2,1,10 10 4 3 5 4 2 1,Neutral
35,474,8,3,7,6,4,3,7,7,8 3 7 6 4 3 7 7,Neutral
36,704,9,9,8,6,8,4,8,5,9 9 8 6 8 4 8 5,Neutral
37,977,9,5,4,4,6,3,1,9,9 5 4 4 6 3 1 9,Neutral
38,454,9,6,6,1,10,8,10,7,9 6 6 1 10 8 10 7,Neutral
39,295,5,7,6,3,1,7,2,9,5 7 6 3 1 7 2 9,Neutral
40,35,10,6,4,5,6,2,3,1,10 6 4 5 6 2 3 1,Neutral
41,304,9,9,4,6,5,1,7,2,9 9 4 6 5 1 7 2,Neutral
42,56,6,9,6,8,9,6,2,4,6 9 6 8 9 6 2 4,Neutral
43,922,8,10,7,4,5,9,3,5,8 10 7 4 5 9 3 5,Neutral
44,569,10,7,6,9,2,6,2,5,10 7 6 9 2 6 2 5,Neutral
45,186,6,4,4,4,6,9,10,10,6 4 4 4 6 9 10 10,Neutral
46,258,7,2,7,2,7,2,6,10,7 2 7 2 7 2 6 10,Neutral
47,560,8,7,8,3,8,7,4,8,8 7 8 3 8 7 4 8,Neutral
48,621,10,4,5,1,5,10,1,10,10 4 5 1 5 10 1 10,Neutral
49,568,10,7,4,6,10,8,10,8,10 7 4 6 10 8 10 8,Neutral
50,393,6,9,8,7,5,8,1,4,6 9 8 7 5 8 1 4,Neutral
51,12,8,10,7,2,8,9,6,6,8 10 7 2 8 9 6 6,Neutral
52,798,7,2,8,7,10,5,3,5,7 2 8 7 10 5 3 5,Neutral
53,740,8,10,7,3,2,10,10,1,8 10 7 3 2 10 10 1,Neutral
54,184,10,9,8,6,4,8,8,9,10 9 8 6 4 8 8 9,Neutral
55,410,7,2,5,2,6,6,3,10,7 2 5 2 6 6 3 10,Neutral
56,480,10,6,7,8,5,3,1,5,10 6 7 8 5 3 1 5,Neutral
57,84,7,4,6,10,7,7,8,9,7 4 6 10 7 7 8 9,Neutral
58,89,9,9,4,5,1,2,3,9,9 9 4 5 1 2 3 9,Neutral
59,763,6,9,6,7,6,10,2,5,6 9 6 7 6 10 2 5,Neutral
60,86,7,8,6,8,3,10,2,7,7 8 6 8 3 10 2 7,Neutral
61,867,6,4,6,4,2,7,5,3,6 4 6 4 2 7 5 3,Neutral
62,248,6,6,4,6,6,6,2,3,6 6 4 6 6 6 2 3,Neutral
63,751,7,3,8,10,2,7,2,6,7 3 8 10 2 7 2 6,Neutral
64,522,6,9,8,10,9,5,3,6,6 9 8 10 9 5 3 6,Neutral
65,696,5,5,4,9,3,1,8,6,5 5 4 9 3 1 8 6,Neutral
66,274,8,2,4,7,10,8,5,8,8 2 4 7 10 8 5 8,Neutral
67,921,9,7,5,10,10,9,6,4,9 7 5 10 10 9 6 4,Neutral
68,957,6,2,7,8,5,9,5,4,6 2 7 8 5 9 5 4,Neutral
69,88,9,4,4,9,9,9,7,10,9 4 4 9 9 9 7 10,Neutral
70,149,5,6,5,1,8,9,7,8,5 6 5 1 8 9 7 8,Neutral
71,737,7,9,4,5,5,2,2,1,7 9 4 5 5 2 2 1,Neutral
72,891,7,2,4,9,6,9,7,9,7 2 4 9 6 9 7 9,Neutral
73,1,9,6,8,7,6,5,3,10,9 6 8 7 6 5 3 10,Neutral
74,868,7,9,7,2,6,2,9,4,7 9 7 2 6 2 9 4,Neutral
75,895,5,5,7,7,2,1,8,9,5 5 7 7 2 1 8 9,Neutral
76,638,9,10,8,2,1,1,4,8,9 10 8 2 1 1 4 8,Neutral
77,707,5,6,6,5,1,9,6,9,5 6 6 5 1 9 6 9,Neutral
78,432,9,9,6,8,2,3,2,4,9 9 6 8 2 3 2 4,Neutral
79,988,7,4,6,7,6,9,7,1,7 4 6 7 6 9 7 1,Neutral
80,742,7,7,8,2,1,1,8,1,7 7 8 2 1 1 8 1,Neutral
81,730,6,5,4,5,6,6,7,2,6 5 4 5 6 6 7 2,Neutral
82,321,5,7,6,2,3,5,3,5,5 7 6 2 3 5 3 5,Neutral
83,904,8,5,8,9,7,9,8,6,8 5 8 9 7 9 8 6,Neutral
84,171,6,10,4,6,1,6,2,3,6 10 4 6 1 6 2 3,Neutral
85,695,10,4,4,1,5,8,7,1,10 4 4 1 5 8 7 1,Neutral
86,498,8,5,4,5,10,7,1,10,8 5 4 5 10 7 1 10,Neutral
87,446,7,8,5,10,10,2,5,9,7 8 5 10 10 2 5 9,Neutral
88,982,9,10,7,5,6,6,1,5,9 10 7 5 6 6 1 5,Neutral
89,981,7,6,7,5,4,6,8,3,7 6 7 5 4 6 8 3,Neutral
90,849,6,10,6,7,7,4,10,7,6 10 6 7 7 4 10 7,Neutral
91,297,7,10,6,8,10,10,2,8,7 10 6 8 10 10 2 8,Neutral
92,713,8,6,7,5,2,7,10,8,8 6 7 5 2 7 10 8,Neutral
93,192,8,4,8,6,3,5,1,5,8 4 8 6 3 5 1 5,Neutral
94,561,9,6,4,8,6,8,3,3,9 6 4 8 6 8 3 3,Neutral
95,364,6,6,7,9,6,4,7,6,6 6 7 9 6 4 7 6,Neutral
96,40,6,7,5,6,10,5,6,3,6 7 5 6 10 5 6 3,Neutral
97,521,5,9,4,2,1,8,3,7,5 9 4 2 1 8 3 7,Neutral
98,201,8,2,8,9,8,8,9,4,8 2 8 9 8 8 9 4,Neutral
99,780,6,4,4,10,6,5,6,8,6 4 4 10 6 5 6 8,Neutral
100,853,7,9,4,8,9,4,10,2,7 9 4 8 9 4 10 2,Neutral
101,202,5,6,6,10,3,4,2,8,5 6 6 10 3 4 2 8,Neutral
102,421,6,3,8,10,6,8,7,9,6 3 8 10 6 8 7 9,Neutral
103,671,9,8,6,10,10,7,7,8,9 8 6 10 10 7 7 8,Neutral
104,334,5,9,4,3,8,10,4,2,5 9 4 3 8 10 4 2,Neutral
105,843,6,8,5,4,5,5,10,6,6 8 5 4 5 5 10 6,Neutral
106,57,10,7,6,10,4,4,2,4,10 7 6 10 4 4 2 4,Neutral
107,353,6,7,5,3,6,6,7,5,6 7 5 3 6 6 7 5,Neutral
108,681,7,2,7,5,2,1,3,7,7 2 7 5 2 1 3 7,Neutral
109,394,6,3,6,10,7,4,3,3,6 3 6 10 7 4 3 3,Neutral
110,188,7,6,8,9,9,8,9,10,7 6 8 9 9 8 9 10,Neutral
111,641,5,10,6,7,4,2,5,4,5 10 6 7 4 2 5 4,Neutral
112,544,10,7,8,4,6,5,7,8,10 7 8 4 6 5 7 8,Neutral
113,163,9,3,4,7,3,8,6,8,9 3 4 7 3 8 6 8,Neutral
114,283,9,2,6,1,2,10,5,5,9 2 6 1 2 10 5 5,Neutral
115,820,6,5,4,9,2,5,10,7,6 5 4 9 2 5 10 7,Neutral
116,254,6,6,6,8,9,4,4,8,6 6 6 8 9 4 4 8,Neutral
117,221,9,6,8,1,8,2,5,6,9 6 8 1 8 2 5 6,Neutral
118,736,8,2,8,8,2,6,5,4,8 2 8 8 2 6 5 4,Neutral
119,280,9,10,4,7,7,3,5,4,9 10 4 7 7 3 5 4,Neutral
120,976,5,2,5,5,7,9,4,3,5 2 5 5 7 9 4 3,Neutral
121,481,9,10,8,9,1,3,1,9,9 10 8 9 1 3 1 9,Neutral
122,80,7,6,4,1,5,6,1,8,7 6 4 1 5 6 1 8,Neutral
123,473,10,10,7,5,2,6,10,5,10 10 7 5 2 6 10 5,Neutral
124,762,10,7,5,7,8,9,3,4,10 7 5 7 8 9 3 4,Neutral
125,385,5,2,6,7,3,2,10,1,5 2 6 7 3 2 10 1,Neutral
126,195,9,7,5,5,10,10,5,1,9 7 5 5 10 10 5 1,Neutral
127,144,8,6,5,6,3,8,2,6,8 6 5 6 3 8 2 6,Neutral
128,767,10,10,8,3,9,6,4,8,10 10 8 3 9 6 4 8,Neutral
129,300,6,8,4,5,5,9,5,4,6 8 4 5 5 9 5 4,Neutral
130,580,5,2,5,8,6,5,4,9,5 2 5 8 6 5 4 9,Neutral
131,216,5,9,8,2,4,8,9,10,5 9 8 2 4 8 9 10,Neutral
132,583,9,3,4,6,5,3,8,7,9 3 4 6 5 3 8 7,Neutral
